Resolution,Noise Type,Image Name,PSNR,SSIM,Correlation
256x256,Speckle,adler-bird-bird-of-prey-raptor-53587.png,27.554696328049467,0.2164210479357562,0.057252148314993416
256x256,Speckle,africa-animal-big-brown-41176.png,27.415088771159617,0.14449397807263487,-0.13811263998050397
256x256,Speckle,agriculture-arable-clouds-countryside.png,29.174225947100094,0.19032492313277097,-0.04115242658075714
256x256,Speckle,allgau-eisenberg-ostallgau-bavaria-161097.png,27.69691090094949,0.12130801299013046,-0.028352959834342308
256x256,Uniform,adler-bird-bird-of-prey-raptor-53587.png,27.583820920496084,0.3481369481624951,-0.11644653730636821
256x256,Uniform,africa-animal-big-brown-41176.png,27.513680009638676,0.2845778413059989,0.06483544574529104
256x256,Uniform,agriculture-arable-clouds-countryside.png,28.460379534456187,0.3150548985733318,-0.11076303774046671
256x256,Uniform,allgau-eisenberg-ostallgau-bavaria-161097.png,27.4756630842837,0.3778748004026461,0.08175924294167898
512x512,Gaussian,above-adventure-aerial-air.png,27.541888580564837,0.13391289221644662,-0.009030997170659968
512x512,Gaussian,african-daisy-flower-nature-flora-41960.png,27.578858060631575,0.19628350096976727,0.001975320780819801
512x512,Gaussian,air-bubbles-diving-underwater-blow-62307.png,27.395054335622838,0.15571199386667658,0.0777510951735129
512x512,Gaussian,alaska-wilderness-sky-aurora-borealis-41004_.png,27.820952623485752,0.13279591812106217,-0.051358320813005516
512x512,Poisson,above-adventure-aerial-air.png,28.845026023387263,0.3009304606007289,-0.022896817659907046
512x512,Poisson,african-daisy-flower-nature-flora-41960.png,28.23292938068247,0.3493395104949609,-0.07029966109117955
512x512,Poisson,air-bubbles-diving-underwater-blow-62307.png,27.315414431949176,0.38149468360334454,0.13317657484747983
512x512,Poisson,alaska-wilderness-sky-aurora-borealis-41004.png,29.148445663250783,0.3406398142580634,0.17250021701105708
512x512,SaltPepper,above-adventure-aerial-air.png,27.85852909063717,0.12738944297577906,0.006863197851988859
512x512,SaltPepper,african-daisy-flower-nature-flora-41960.png,27.697398577239788,0.13126176441683737,-0.031882823004092176
512x512,SaltPepper,air-bubbles-diving-underwater-blow-62307.png,27.459555160697697,0.12666870230766658,0.02688983353308737
512x512,SaltPepper,alaska-wilderness-sky-aurora-borealis-41004.png,27.520877470176192,0.11856096422293486,-0.0028390201864735213
512x512,Speckle,above-adventure-aerial-air.png,27.790513342599166,0.2574570732509858,-0.06342555471748483
512x512,Speckle,african-daisy-flower-nature-flora-41960.png,27.38570229179092,0.29437454226506554,-0.03135133802789465
512x512,Speckle,air-bubbles-diving-underwater-blow-62307.png,27.52780880532739,0.18474277214506427,0.05055149185923601
512x512,Speckle,alaska-wilderness-sky-aurora-borealis-41004.png,27.461056446111414,0.2864622075651671,-0.01623943339901462
512x512,Uniform,above-adventure-aerial-air.png,27.520642260462584,0.3439431887712168,0.012435586661971615
512x512,Uniform,african-daisy-flower-nature-flora-41960.png,27.317377913989777,0.3523674411870889,0.05416624544031684
512x512,Uniform,air-bubbles-diving-underwater-blow-62307.png,27.498368226751253,0.3404614838185597,0.10270069907224007
512x512,Uniform,alaska-wilderness-sky-aurora-borealis-41004.png,29.166531986947433,0.31334675067226586,0.09704913197787332
