Resolution,Noise Type,Image Name,PSNR,SSIM,Correlation
2048x2048,Gaussian,alaska-wilderness-sky-aurora-borealis-41004.png,20.51659924441482,0.24125716391920643,0.9551166004450766
2048x2048,Poisson,above-adventure-aerial-air.png,30.36861108228048,0.760417311700331,0.9932814405541281
2048x2048,Poisson,african-daisy-flower-nature-flora-41960.png,32.28893487164423,0.9474409834828275,0.9974864758533036
2048x2048,Poisson,air-bubbles-diving-underwater-blow-62307.png,28.134826829187908,0.8172628332717563,0.9900639586483282
2048x2048,Poisson,alaska-wilderness-sky-aurora-borealis-41004.png,29.028366273335216,0.6580628199037545,0.9921828204515716
2048x2048,Saltpepper,above-adventure-aerial-air.png,14.52612586399887,0.08162878492389979,0.6332427299523629
2048x2048,Saltpepper,african-daisy-flower-nature-flora-41960.png,13.663447563692845,0.1390538994944332,0.6898653838519454
2048x2048,Saltpepper,air-bubbles-diving-underwater-blow-62307.png,14.680430826797457,0.24068316907081017,0.714071839089734
2048x2048,Saltpepper,alaska-wilderness-sky-aurora-borealis-41004.png,14.878208522003451,0.07444947818048712,0.7309619370826688
2048x2048,Speckle,above-adventure-aerial-air.png,13.335751422232732,0.1912048238640519,0.7473600986216467
2048x2048,Speckle,african-daisy-flower-nature-flora-41960.png,14.577422026428605,0.6883423284108996,0.8632641815704275
2048x2048,Speckle,air-bubbles-diving-underwater-blow-62307.png,10.152047248431852,0.13559079459288095,0.5321980933573953
2048x2048,Speckle,alaska-wilderness-sky-aurora-borealis-41004.png,11.537380098389328,0.08840388153212339,0.6497117026689483
2048x2048,Uniform,above-adventure-aerial-air.png,19.53037430732055,0.1973635274534714,0.9177284652926239
2048x2048,Uniform,african-daisy-flower-nature-flora-41960.png,20.776562606992858,0.20625904625115707,0.9595181321452438
2048x2048,Uniform,air-bubbles-diving-underwater-blow-62307.png,19.57341285999971,0.4766925992323938,0.9325138230198609
2048x2048,Uniform,alaska-wilderness-sky-aurora-borealis-41004.png,19.22574319637115,0.19236604278775815,0.9402933977386316
256x256,Gaussian,adler-bird-bird-of-prey-raptor-53587.png,26.332191455009337,0.6286553175658748,0.8674184885717406
256x256,Gaussian,africa-animal-big-brown-41176.png,23.300773122197306,0.7190329377888993,0.9789158507615741
256x256,Gaussian,agriculture-arable-clouds-countryside.png,26.410712405451157,0.5416221658108863,0.985875213486242
256x256,Gaussian,allgau-eisenberg-ostallgau-bavaria-161097.png,25.32022834777866,0.7293073290737785,0.9822513612623736
256x256,Poisson,adler-bird-bird-of-prey-raptor-53587.png,33.7830462949272,0.9113650043831412,0.9718938124818917
256x256,Poisson,africa-animal-big-brown-41176.png,29.377831882950044,0.8943263219405126,0.9940300195227896
256x256,Poisson,agriculture-arable-clouds-countryside.png,33.708090633124314,0.9276088554371094,0.9978007075489319
